order_id,order_date,ship_date,customer,manufactory,product_name,segment,category,subcategory,region,zip,city,state,country,discount,profit,quantity,sales,profit_margin,Unnamed: 19,cost,profit_ratio,year,month,quarter,day_of_week
US-2020-103800,2019-01-03,2019-01-07,Darren Powers,Message Book,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Consumer,Office Supplies,Paper,Central,77095,Houston,Texas,United States,0.2,5.5512,2.0,16.448,0.3375,,10.8968,0.33749999999999997,2019,1,1,Thursday
US-2020-112326,2019-01-04,2019-01-08,Phillina Ober,Avery,Avery 508,Home Office,Office Supplies,Labels,Central,60540,Naperville,Illinois,United States,0.2,4.2717,3.0,11.784,0.3625,,7.512300000000001,0.3625,2019,1,1,Friday
US-2020-141817,2019-01-05,2019-01-12,Mick Brown,Avery,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Consumer,Office Supplies,Art,East,19143,Philadelphia,Pennsylvania,United States,0.2,4.884,3.0,19.536,0.25,,14.652000000000001,0.25,2019,1,1,Saturday
US-2020-106054,2019-01-06,2019-01-07,Jack O'Briant,Dixon,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Corporate,Office Supplies,Art,South,30605,Athens,Georgia,United States,0.0,5.2398,3.0,12.78,0.41,,7.5402,0.41000000000000003,2019,1,1,Sunday
US-2020-130813,2019-01-06,2019-01-08,Lycoris Saunders,Xerox,Xerox 225,Consumer,Office Supplies,Paper,West,90049,Los Angeles,California,United States,0.0,9.3312,3.0,19.44,0.48,,10.1088,0.48000000000000004,2019,1,1,Sunday
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,Global,Global Deluxe High-Back Manager's Chair,Home Office,Furniture,Chairs,South,42420,Henderson,Kentucky,United States,0.0,92.21069999999999,9.0,460.21000000000004,0.29,,1827.4122000000002,0.29,2019,1,1,Sunday
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,Rogers,Rogers Handheld Barrel Pencil Sharpener,Home Office,Office Supplies,Art,South,42420,Henderson,Kentucky,United States,0.0,1.4796,2.0,5.48,0.27,,4.000400000000001,0.26999999999999996,2019,1,1,Sunday
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,Ibico,Ibico Hi-Tech Manual Binding System,Home Office,Office Supplies,Binders,South,42420,Henderson,Kentucky,United States,0.0,92.21069999999999,2.0,460.21000000000004,0.45,,335.48900000000003,0.44999999999999996,2019,1,1,Sunday
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,Alliance,"Alliance Super-Size Bands, Assorted Sizes",Home Office,Office Supplies,Fasteners,South,42420,Henderson,Kentucky,United States,0.0,0.3112,4.0,31.12,0.01,,30.8088,0.009999999999999998,2019,1,1,Sunday
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,Southworth,Southworth 25% Cotton Granite Paper & Envelopes,Home Office,Office Supplies,Paper,South,42420,Henderson,Kentucky,United States,0.0,3.0084,1.0,6.54,0.46,,3.5316,0.45999999999999996,2019,1,1,Sunday
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,Other,Wireless Extenders zBoost YX545 SOHO Signal Booster,Home Office,Technology,Phones,South,42420,Henderson,Kentucky,United States,0.0,92.21069999999999,4.0,460.21000000000004,0.27,,551.8508,0.26999999999999996,2019,1,1,Sunday
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,GE,GE 30524EE4,Home Office,Technology,Phones,South,42420,Henderson,Kentucky,United States,0.0,92.21069999999999,2.0,391.98,0.29,,278.30580000000003,0.29,2019,1,1,Sunday
